Date,Home_ID,City,Energy_Consumption_kWh,Occupancy,Temperature_C,Humidity_%,HVAC_Usage_kWh,Kitchen_Usage_kWh,Electronics_Usage_kWh
2024-03-14 06:00:00,Home_8,Lucknow,3.14,1,25.71,46.1,1.12,0.97,0.38
2024-04-06 06:00:00,Home_9,Hyderabad,4.7,1,27.73,45.42,0.54,1.45,0.3
2024-01-30 13:00:00,Home_4,Lucknow,2.27,0,16.2,57.5,-0.22,0.21,0.26
2024-03-05 12:00:00,Home_5,Ahmedabad,0.8,0,23.3,58.46,2.15,0.82,0.55
2024-01-19 00:00:00,Home_10,Kolkata,2.43,0,21.18,84.52,1.65,0.27,0.94
2024-03-20 22:00:00,Home_8,Mumbai,1.53,1,24.12,62.88,2.08,1.03,0.6
2024-03-25 11:00:00,Home_2,Chennai,3.74,1,27.16,55.26,0.11,1.14,0.06
2024-03-03 02:00:00,Home_2,Lucknow,1.63,1,24.44,44.79,0.81,0.22,0.12
2024-02-04 22:00:00,Home_4,Lucknow,2.17,0,20.04,64.69,1.57,1.26,0.56
2024-03-26 18:00:00,Home_7,Bangalore,4.41,1,31.2,53.09,1.85,0.71,0.85
2024-01-22 19:00:00,Home_5,Bangalore,3.58,1,23.52,28.66,1.56,0.74,0.16
2024-01-26 12:00:00,Home_10,Lucknow,2.1,1,20.64,55.45,1.01,0.45,0.69
2024-03-14 07:00:00,Home_1,Ahmedabad,3.21,1,25.48,85.19,1.08,0.69,0.43
2024-01-14 22:00:00,Home_10,Hyderabad,2.34,1,28.54,58.43,0.0,1.39,0.65
2024-03-25 14:00:00,Home_8,Mumbai,2.64,1,21.34,23.8,1.94,1.18,0.72
2024-02-12 11:00:00,Home_5,Lucknow,3.91,0,25.63,65.06,0.92,0.89,0.49
2024-01-03 18:00:00,Home_4,Ahmedabad,2.65,0,20.17,57.07,0.24,0.89,0.28
2024-01-24 07:00:00,Home_4,Mumbai,1.8,1,9.74,49.06,0.82,0.2,-0.09
2024-02-20 04:00:00,Home_5,Lucknow,3.85,0,17.11,39.88,1.57,0.94,0.54
2024-02-19 04:00:00,Home_7,Pune,4.52,0,25.01,42.68,0.51,1.32,1.04
2024-03-28 22:00:00,Home_1,Hyderabad,4.51,1,24.5,35.06,1.15,0.94,0.9
2024-04-05 20:00:00,Home_9,Ahmedabad,2.77,0,31.22,64.37,1.32,0.66,0.74
2024-01-15 16:00:00,Home_3,Mumbai,3.38,1,22.72,72.4,1.3,0.98,0.71
2024-03-21 16:00:00,Home_4,Delhi,4.24,0,20.44,60.02,1.13,0.88,-0.01
2024-04-07 20:00:00,Home_5,Lucknow,3.1,0,24.54,65.94,2.06,0.86,0.25
2024-01-23 04:00:00,Home_5,Pune,0.1,1,27.48,49.8,0.52,0.29,0.37
2024-01-22 21:00:00,Home_9,Ahmedabad,4.77,1,24.61,64.12,1.02,0.71,0.76
2024-01-30 15:00:00,Home_6,Bangalore,4.03,1,20.49,72.64,1.16,0.83,0.3
2024-02-04 11:00:00,Home_8,Hyderabad,2.91,1,27.99,52.72,1.13,0.97,0.4
2024-02-11 03:00:00,Home_5,Kolkata,5.2,0,19.82,77.69,0.14,0.74,0.53
2024-01-30 23:00:00,Home_4,Jaipur,4.39,1,25.9,54.4,0.98,0.43,-0.04
2024-04-07 09:00:00,Home_3,Ahmedabad,3.98,1,25.06,57.51,0.75,0.64,0.28
2024-02-21 22:00:00,Home_4,Lucknow,2.08,1,26.18,57.66,0.99,0.98,0.18
2024-04-02 05:00:00,Home_5,Chennai,2.55,1,24.26,80.45,1.1,1.52,0.3
2024-03-06 15:00:00,Home_1,Bangalore,3.91,1,22.15,49.5,1.07,0.75,0.55
2024-01-27 18:00:00,Home_1,Hyderabad,2.64,1,14.63,63.82,1.1,1.22,0.51
2024-02-03 00:00:00,Home_3,Lucknow,3.79,1,13.63,45.42,0.5,0.53,0.93
2024-03-14 05:00:00,Home_4,Lucknow,3.92,1,19.44,61.82,1.12,0.14,0.43
2024-01-16 18:00:00,Home_10,Delhi,4.65,1,31.41,59.65,1.66,1.13,0.75
2024-02-05 15:00:00,Home_1,Chennai,4.72,1,23.1,43.96,1.31,1.67,0.74
2024-02-12 23:00:00,Home_5,Kolkata,4.63,0,32.17,63.73,1.75,0.82,0.24
2024-04-02 22:00:00,Home_2,Hyderabad,2.43,1,18.52,58.22,1.26,0.8,0.64
2024-03-04 08:00:00,Home_7,Jaipur,3.68,0,22.65,,0.67,0.96,0.54
2024-02-19 06:00:00,Home_6,Ahmedabad,2.32,1,36.54,53.7,0.54,0.92,0.03
2024-01-15 09:00:00,Home_8,Delhi,5.03,1,20.61,39.21,1.09,0.51,0.45
2024-02-20 20:00:00,Home_2,Bangalore,2.76,1,28.04,68.49,1.49,1.08,0.51
2024-03-13 17:00:00,Home_8,Pune,3.89,1,16.99,61.39,1.36,0.16,0.7
2024-02-12 02:00:00,Home_10,Bangalore,3.45,1,24.26,59.23,1.75,1.38,0.67
2024-01-13 17:00:00,Home_1,Mumbai,2.61,0,29.62,36.53,0.74,1.14,0.7
2024-04-11 04:00:00,Home_6,Delhi,1.03,1,25.69,60.76,1.76,0.82,0.85
2024-02-03 09:00:00,Home_7,Chennai,4.43,1,29.94,46.92,0.49,0.8,0.26
2024-01-21 06:00:00,Home_1,Chennai,2.17,0,14.71,,1.04,1.07,0.1
2024-02-01 22:00:00,Home_9,Lucknow,2.99,1,27.65,76.48,0.77,1.19,0.59
2024-02-04 15:00:00,Home_1,Jaipur,1.5,1,17.49,33.3,1.98,1.22,0.45
2024-02-03 08:00:00,Home_1,Delhi,2.72,1,14.9,62.9,1.81,0.79,0.91
2024-01-09 05:00:00,Home_4,Chennai,2.87,0,23.67,34.74,0.72,1.63,0.2
2024-01-09 22:00:00,Home_9,Bangalore,4.38,0,27.29,82.08,0.61,1.88,0.22
2024-02-11 19:00:00,Home_4,Lucknow,2.53,1,23.98,69.09,1.35,1.41,0.46
2024-04-06 08:00:00,Home_7,Lucknow,5.35,1,32.81,70.89,0.86,0.34,0.42
2024-02-13 18:00:00,Home_1,Mumbai,3.25,1,15.85,75.1,,0.46,0.33
2024-03-06 02:00:00,Home_5,Jaipur,3.6,1,25.89,35.44,1.24,1.47,0.86
